Year,Maize_Yield_t_ha,Yield_Outlier,Annual_Rainfall_mm,Rainy_Months,Max_Monthly_Rain,Long_Rain_mm,Short_Rain_mm,JJA_Rain_mm,GS_Rain_mm,Apr_Rain_mm,Aug_Rain_mm,DryS_Rain_mm,Within_Year_CV,Rolling5yr_Rain,Rain_Anomaly,Drought_Year,Wet_Year,Annual_Mean_Temp_clean,Max_Monthly_Temp_clean,Min_Monthly_Temp_clean,Temp_Range_clean,Temp_CV,GS_Temp_clean,Temp_Anomaly,Hot_Year,Rainfall_Lag1,LR_Rain_Lag1,Yield_Lag1,Yield_Category
2012,2.821691,0,1390.8,11,296.3,493.7,157.1,452.1,1069.1,296.3,116.3,11.8,77.28123170076752,1147.6,237.37777777777796,0,1,17.358333333333334,18.6,15.4,3.200000000000001,5.316748483002323,17.685714285714287,-0.11138455573800599,0,,,,Low
2013,4.09463,0,1616.7,11,284.8,546.5999999999999,178.1,573.4,1286.1,265.9,284.8,62.400000000000006,59.69010324416853,1263.26,463.27777777777806,0,1,17.0,18.9,16.3,2.599999999999998,4.705882352941175,17.02857142857143,-0.46971788907134027,0,1390.8,493.7,2.821691,High
2014,3.933895,0,897.5,11,156.3,209.79999999999998,169.4,360.8,636.5,24.9,156.3,65.8,62.96677382783603,1267.98,-255.922222222222,1,0,17.333333333333332,18.7,16.4,2.3000000000000007,4.305600141287407,17.442857142857143,-0.13638455573800812,0,1616.7,546.5999999999999,4.09463,High
2015,3.892475,0,1125.3,10,203.2,386.29999999999995,272.0,312.2,751.2,203.2,44.3,0.8,72.10588505801525,1223.3200000000002,-28.122222222222035,0,0,18.116666666666667,19.8,17.2,2.6000000000000014,4.6291612237016135,17.985714285714288,0.6469487775953269,1,897.5,209.79999999999998,3.933895,High
2016,3.945773,0,1294.4,11,291.7,561.7,92.6,495.0,1120.6,291.7,139.8,77.39999999999999,79.19581751201643,1264.94,140.9777777777781,0,0,17.783333333333335,20.3,16.5,3.8000000000000007,6.261012931374305,17.714285714285715,0.3136154442619947,0,1125.3,386.29999999999995,3.892475,High
2017,3.307996,0,1336.3,11,261.4,323.0,275.4,494.7,975.5,111.0,261.4,81.0,75.40034236533721,1254.04,182.87777777777796,0,0,17.900000000000002,19.5,16.9,2.6000000000000014,5.092414244837022,17.928571428571427,0.43028211092866187,1,1294.4,561.7,3.945773,Low
2018,4.258628,0,1467.0,11,318.0,704.1,90.4,521.7,1232.9,318.0,123.5,87.3,85.73847668453826,1224.1,313.577777777778,0,1,17.525000000000002,19.2,16.2,3.0,4.636483338763122,17.1,0.055282110928661865,0,1336.3,323.0,3.307996,High
2019,3.241035,0,1269.5,12,273.5,220.0,293.3,481.4,814.5,101.1,105.6,34.0,66.99456905739014,1298.5,116.07777777777801,0,0,18.108333333333334,20.0,16.7,3.3000000000000007,6.707694696587402,18.257142857142856,0.638615444261994,1,1467.0,704.1,4.258628,Low
2020,3.065103,0,1619.1,12,281.2,528.0,129.4,610.6,1293.4,281.2,194.3,177.70000000000002,61.42251710602862,1397.26,465.6777777777779,0,1,17.683333333333334,18.6,16.8,1.8000000000000007,2.911943358403982,17.614285714285714,0.2136154442619933,0,1269.5,220.0,3.241035,Low
2021,3.682928,0,1139.5,9,276.8,368.6,92.5,398.9,971.8000000000001,84.8,168.0,67.3,101.949667577275,1366.28,-13.92222222222199,0,0,17.891666666666666,19.3,16.8,2.5,4.556032270238958,17.742857142857144,0.42194877759532545,1,1619.1,528.0,3.065103,Medium
2022,3.5,0,1381.2,10,368.2,293.2,77.0,748.5,1158.5,191.1,368.2,142.7,98.75572672322102,1375.2599999999998,227.77777777777806,0,1,17.75,19.3,16.5,2.8000000000000007,5.024690619807575,17.714285714285715,0.28028211092865973,0,1139.5,368.6,3.682928,Medium
2023,4.041092,0,1262.1,10,231.6,407.90000000000003,243.2,353.4,992.9,192.0,82.8,7.6,72.38607258886792,1334.28,108.67777777777792,0,0,18.25,20.1,17.2,2.900000000000002,4.733826834397705,18.057142857142857,0.7802821109286597,1,1381.2,293.2,3.5,High
