Year,Maize_Yield_t_ha,Annual_Rainfall_mm,Rainy_Months,Max_Monthly_Rain,Annual_Mean_Temp,Max_Monthly_Temp,Min_Monthly_Temp,Temp_Range,GS_Rain_mm,GS_Mean_Temp,Apr_Rain_mm,Aug_Rain_mm
2012,2.821691,1390.8,11,296.3,17.358333333333334,18.6,15.4,3.200000000000001,1069.1,17.69,296.3,116.3
2013,4.09463,1616.7,11,284.8,17.0,18.9,16.3,2.599999999999998,1286.1,17.03,265.9,284.8
2014,3.933895,897.5,11,156.3,17.333333333333332,18.7,16.4,2.3000000000000007,636.5,17.44,24.9,156.3
2015,3.892475,1125.3,10,203.2,18.116666666666667,19.8,17.2,2.6000000000000014,751.2,17.99,203.2,44.3
2016,3.945773,1294.4,11,291.7,17.783333333333335,20.3,16.5,3.8000000000000007,1120.6,17.71,291.7,139.8
2017,3.307996,1336.3,11,261.4,17.900000000000002,19.5,16.9,2.6000000000000014,975.5,17.93,111.0,261.4
2018,4.258628,1467.0,11,318.0,17.525000000000002,19.2,16.2,3.0,1232.9,17.1,318.0,123.5
2019,3.241035,1269.5,12,273.5,18.108333333333334,20.0,16.7,3.3000000000000007,814.5,18.26,101.1,105.6
2020,3.065103,1619.1000000000001,12,281.2,17.683333333333334,18.6,16.8,1.8000000000000007,1293.4,17.61,281.2,194.3
2021,3.682928,1139.5,9,276.8,17.891666666666666,19.3,16.8,2.5,971.8000000000001,17.74,84.8,168.0
2022,3.5,1381.2,10,368.2,17.75,19.3,16.5,2.8000000000000007,1158.5,17.71,191.1,368.2
2023,4.041092,1262.1,10,231.6,18.25,20.1,17.2,2.900000000000002,992.9,18.06,192.0,82.8
